"group";"order";"family";"genus";"species";"area";"country";"from";"to";"period";"origin";"summary";"reference";"href"
"Marine Fish";"Myctophiformes";"Myctophidae";"Diaphus";"Diaphus metopoclampus";"Central Mediterranean Sea";"Italy";2010;2011;"2010-2011";"Seawater";"1 white plastic item reported. The incidence of plastics reported was 0,3% (n=296)";"Romeo, T., Peda, C., Fossi, M.C., Andaloro, F. & Battaglia, P. (2016). First record of plastic debris in the stomach of Mediterranean lanternfishes. Acta Adriatica, 57(1), 115-124";"http://jadran.izor.hr/acta/pdf/57_1_pdf/57_1_9.pdf"
"Marine Fish";"Myctophiformes";"Myctophidae";"Hygophum";"Hygophum benoiti";"Central Mediterranean Sea";"Italy";2010;2014;"2010-2011, 2014";"Seawater";"5 plastic items reported, where 40% was white, 40% was hyaline and 20% black. The incidence of plastics reported was 6,8% (n=73)";"Romeo, T., Peda, C., Fossi, M.C., Andaloro, F. & Battaglia, P. (2016). First record of plastic debris in the stomach of Mediterranean lanternfishes. Acta Adriatica, 57(1), 115-124";"http://jadran.izor.hr/acta/pdf/57_1_pdf/57_1_9.pdf"
"Marine Fish";"Myctophiformes";"Myctophidae";"Myctophum";"Myctophum punctatum";"Central Mediterranean Sea";"Italy";2010;2014;"2010-2011, 2014";"Seawater";"3 plastic items reported, where 33% were hyaline, 33% grey and 34% black. The incidence of plastics reported was 4,2% (n=71)";"Romeo, T., Peda, C., Fossi, M.C., Andaloro, F. & Battaglia, P. (2016). First record of plastic debris in the stomach of Mediterranean lanternfishes. Acta Adriatica, 57(1), 115-124";"http://jadran.izor.hr/acta/pdf/57_1_pdf/57_1_9.pdf"
"Marine Fish";"Myctophiformes";"Myctophidae";"Electrona";"Electrona risso";"Central Mediterranean Sea";"Italy";2010;2014;"2010-2011, 2014";"Seawater";"5 plastic fragments reported, where 40% was hyaline, 40% yellow and 20% brown. The incidence of plastics reported was 6,1% (n=82)";"Romeo, T., Peda, C., Fossi, M.C., Andaloro, F. & Battaglia, P. (2016). First record of plastic debris in the stomach of Mediterranean lanternfishes. Acta Adriatica, 57(1), 115-124";"http://jadran.izor.hr/acta/pdf/57_1_pdf/57_1_9.pdf"
"Marine Fish";"Perciformes";"Serranidae";"Plectropomus";"Plectropomus maculatus";"South West Pacific Ocean";"Australia";1974;1974;"Before 1974";"Seawater";"2 P.maculatus (Bm1=6,6kg, Bm2=7,7kg) contained fish hooks encapsulated by tissue in their stomachs";"Walker, M.H. & Alexander, C.G. (1974). Encapsulated fish hooks from the stomachs of Plectropomus maculatus (Bloch)(Serranidae). Journal of Fish Biology, 6(6), 759-761";"https://doi.org/10.1111/j.1095-8649.1974.tb05117.x"
"Marine fish";"Beloniformes";"Belonidae";"Belone";"Belone belone";"North East Atlantic Ocean";"Ireland";1981;1983;"June-September 1981-1983";"Seawater";"Floatsam (marine debris) was found in 21 fish  wchih constitute 7,34% of the fish analysed. Three contained pieces of paper, tinfoil and cigarette ends";"Dorman, J.A. (1988). Diet of the garfish, Belone belone (L.), from Courtmacsherry Bay, Ireland. Journal of Fish Biology, 33, 333-346";"https://doi.org/10.1111/j.1095-8649.1988.tb05476.x"
"Marine fish";"Clupeiformes";"Clupeidae";"Alosa";"Alosa fallax";"East North Atlantic Ocean";"Portugal";1988;1989;"1988-1989";"Seawater";"Study carried out with fish from the Tagus estuary. Plastic and synthetic fibers such nylon was included within the Detritus cathegory with sand and vegetation, and occurred in 30.34%";"Assis, C.A., Almeida, P.R., Moreira, F., Costa, J.L. & Costa, M.J. (1992). Diet of the twaite shad Alosa fallax (Lacépède)(Clupeidae) in the River Tagus estuary, Portugal. Journal of Fish Biology, 41(6), 1049-1050";"https://doi.org/10.1111/j.1095-8649.1992.tb02734.x"
"Marine fish";"Carcharhiniformes ";"Carcharhinidae";"Prionace";"Prionace glauca";"North East Atlantic Ocean";"Ireland";1998;1998;1998;"Seawater";"An empty plastic carrier bag was recovered from the stomach of a 153 cm male, and a plastic refuse sack containing potato peel, orange peel and onion peel, was recovered from the stomach of a 179 cm female";"Henderson, A.C., Flannery, K. & Dunne, J. (2001). Observations on the biology and ecology of the blue shark in the North‐east Atlantic. Journal of Fish Biology, 58(5), 1347-1358";"https://doi.org/10.1111/j.1095-8649.2001.tb02291.x "
"Marine fish";"Squaliformes";"Somniosidae";"Somniosus";"Somniosus microcephalus";"North Atlantic Ocean";"Greenland (Denmark)";1980;1988;"1980-1983, 1988-1991";"Seawater";"Two sharks (5.41FO%) contained fishig gear and a plastic bag.";"Yano, K., Stevens, J.D. & Compagno, L.J.V. (2007). Distribution, reproduction and feeding of the Greenland shark Somniosus (Somniosus) microcephalus, with notes on two other sleeper sharks, Somniosus (Somniosus) pacificus and Somniosus (Somniosus) antarcticus. Journal of Fish Biology, 70(2), 374–390";"https://doi.org/10.1111/j.1095-8649.2007.01308.x "
"Marine fish";"Squaliformes";"Somniosidae";"Somniosus";"Somniosus pacificus";"North Pacific Ocean";"USA";1980;1988;"1980-1983, 1988-1991";"Seawater";"Two sharks contained plastic bags and 1 shark contained a soft drink can";"Yano, K., Stevens, J.D. & Compagno, L.J.V. (2007). Distribution, reproduction and feeding of the Greenland shark Somniosus (Somniosus) microcephalus, with notes on two other sleeper sharks, Somniosus (Somniosus) pacificus and Somniosus (Somniosus) antarcticus. Journal of Fish Biology, 70(2), 374–390";"https://doi.org/10.1111/j.1095-8649.2007.01308.x "
"Marine fish";"Gadiformes";"Gadidae";"Melanogrammus";"Melanogrammus aeglefinus";"North Sea";"UK";2004;2005;"April-August 2004 & June-September 2005";"Seawater";"Plastic was found in the stomach of one haddock (0,2%, n=492), which constitutes 0,12% of the biomass of the ingested items ";"Demain, D.K., Gallego, A., Jaworski, A., Priede, I.G. & Jones, E.G. (2011). Diet and feeding niches of juvenile Gadus morhua, Melanogrammus aeglefinus and Merlangius merlangus during the settlement transition in the northern North Sea. Journal of Fish Biology, 79(1), 89–111";"https://doi.org/10.1111/j.1095-8649.2011.02997.x "
"Marine fish";"Gadiformes";"Gadidae";"Merlangius";"Merlangius merlangus";"North Sea";"UK";2004;2005;"April-August 2004 & June-September 2005";"Seawater";"Plastic was found in one whiting (<0,01%, n=1311), which made up less than 0,01% of the total biomass of ingested items";"Demain, D.K., Gallego, A., Jaworski, A., Priede, I.G. & Jones, E.G. (2011). Diet and feeding niches of juvenile Gadus morhua, Melanogrammus aeglefinus and Merlangius merlangus during the settlement transition in the northern North Sea. Journal of Fish Biology, 79(1), 89–111";"https://doi.org/10.1111/j.1095-8649.2011.02997.x "
"Marine fish";"Perciformes";"Nototheniidae";"Dissostichus";"Dissostichus mawsoni";"South Atlantic Ocean";"South Georgia (British Overseas Territory)";2009;2009;"March-April 2009";"Seawater";"One fish contained a single longline snood in its stomach";"Roberts, J., Xavier, J.C. & Agnew, D.J. (2011). The diet of toothfish species Dissostichus eleginoides and Dissostichus mawsoni with overlapping distributions. Journal of Fish Biology, 79(1), 138–154";"https://doi.org/10.1111/j.1095-8649.2011.03005.x "
"Marine fish";"Beloniformes";"Exocoetidae";"Cheilopogon";"Cheilopogon xenopterus";"North East Pacific Ocean";"Mexico";2007;2007;"5th  August-23rd November 2007";"Seawater";"A total of 48 fish contained plastic in their stomasch (n=73, 66.7%O)";"Van Noord, J. E., Lewallen, E. A., & Pitman, R. L. (2013). Flyingfish feeding ecology in the eastern Pacific: prey partitioning within a speciose epipelagic community. Journal of Fish Biology, 83(2), 326–342.doi:10.1111/jfb.12173";"https://doi.org/10.1111/jfb.12173"
"Marine fish";"Beloniformes";"Exocoetidae";"Exocoetus";"Exocoetus monocirrhus";"North East Pacific Ocean";"Mexico";2007;2007;"5th  August-23rd November 2007";"Seawater";"A total of 129-130 fish contained plastic in their stomaschs (n=205, 63.1%O)";"Van Noord, J. E., Lewallen, E. A., & Pitman, R. L. (2013). Flyingfish feeding ecology in the eastern Pacific: prey partitioning within a speciose epipelagic community. Journal of Fish Biology, 83(2), 326–342.doi:10.1111/jfb.12173";"https://doi.org/10.1111/jfb.12173"
"Marine fish";"Beloniformes";"Exocoetidae";"Exocoetus";"Exocoetus volitans";"North East Pacific Ocean";"Mexico";2007;2007;"5th  August-23rd November 2007";"Seawater";"A total of seven fish contained plastic in their stomachs (n=11, 7%O)";"Van Noord, J. E., Lewallen, E. A., & Pitman, R. L. (2013). Flyingfish feeding ecology in the eastern Pacific: prey partitioning within a speciose epipelagic community. Journal of Fish Biology, 83(2), 326–342.doi:10.1111/jfb.12173";"https://doi.org/10.1111/jfb.12173"
"Marine fish";"Beloniformes";"Exocoetidae";"Hirundichthys";"Hirundichthys marginatus";"North East Pacific Ocean";"Mexico";2007;2007;"5th  August-23rd November 2007";"Seawater";"A total of 15 fish contained plastic in their stomaschs (n=24, 62,5%O)";"Van Noord, J. E., Lewallen, E. A., & Pitman, R. L. (2013). Flyingfish feeding ecology in the eastern Pacific: prey partitioning within a speciose epipelagic community. Journal of Fish Biology, 83(2), 326–342.doi:10.1111/jfb.12173";"https://doi.org/10.1111/jfb.12173"
"Marine fish";"Beloniformes";"Hemiramphidae ";"Oxyporhamphus";"Oxyporhamphus micropterus";"North East Pacific Ocean";"Mexico";2007;2007;"5th  August-23rd November 2007";"Seawater";"A total of 13-14 fish contained plastic in their stomachs (n=34, 39,4%O)";"Van Noord, J. E., Lewallen, E. A., & Pitman, R. L. (2013). Flyingfish feeding ecology in the eastern Pacific: prey partitioning within a speciose epipelagic community. Journal of Fish Biology, 83(2), 326–342.doi:10.1111/jfb.12173";"https://doi.org/10.1111/jfb.12173"
"Marine fish";"Beloniformes";"Exocoetidae";"Prognichthys";"Prognichthys sealei";"North East Pacific Ocean";"Mexico";2007;2007;"5th  August-23rd November 2007";"Seawater";"One fish contained plastic in its stomach (n=4, 25%O)";"Van Noord, J. E., Lewallen, E. A., & Pitman, R. L. (2013). Flyingfish feeding ecology in the eastern Pacific: prey partitioning within a speciose epipelagic community. Journal of Fish Biology, 83(2), 326–342.doi:10.1111/jfb.12173";"https://doi.org/10.1111/jfb.12173"
"Marine fish";"Beloniformes";"Exocoetidae";"Prognichthys";"Prognichthys tringa";"North East Pacific Ocean";"Mexico";2007;2007;"5th  August-23rd November 2007";"Seawater";"Three fishes contained plastic in their stomachs (n=4, 75%O)";"Van Noord, J. E., Lewallen, E. A., & Pitman, R. L. (2013). Flyingfish feeding ecology in the eastern Pacific: prey partitioning within a speciose epipelagic community. Journal of Fish Biology, 83(2), 326–342.doi:10.1111/jfb.12173";"https://doi.org/10.1111/jfb.12173"
"Marine fish";"Carcharhiniformes ";"Pentanchidae ";"Galeus";"Galeus melastomus";"Central Mediterranean Sea";"Greece";2010;2010;"Summer & Autumn 2010";"Seawater";"""...non-organic material (e.g. plastics, metal, wood and stones) was found ingested in some stomachs"" (n=727)";"Anastasopoulou, A., Mytilineou, C., Lefkaditou, E., Dokos, J., Smith, C. J., Siapatis, A., Bekas, P. & Papadopoulou, K.-N. (2013). Diet and feeding strategy of blackmouth catshark Galeus melastomus. Journal of Fish Biology, 83(6), 1637–1655";"https://doi.org/10.1111/jfb.12269 "
"Marine fish";"Carcharhiniformes ";"Pentanchidae ";"Galeus";"Galeus melastomus";"West Mediterranean Sea";"Spain";1988;1990;"1988-1990";"Seawater";"A plastic item and a synthetic fiber was found in a stomach of 40-60cm length of G.melastomus fish collected at 371-667m depth. A plastic item was also found in a stomach of 40-60cm length of G.melastomus fish collected at 984-1584m depth. ";"Carrassón, M., Stefanescu, C. & Cartes J.E. (1992). Diets and bathymetric distributions of two bathyal sharks of the Catalan deep sea (western Mediterranean). Marine Ecology Progress Series, 82, 21-30 ";"https://doi.org/https://doi.org/10.3354/meps082021"
"Marine fish";"Squaliformes";"Somniosidae";"Centroscymnus";"Centroscymnus coelolepis";"West Mediterranean Sea";"Spain";1988;1990;"1988-1990";"Seawater";"A plastic item was found in one stomach of 19-39cm length of C.coelolepis.";"Carrassón, M., Stefanescu, C. & Cartes J.E. (1992). Diets and bathymetric distributions of two bathyal sharks of the Catalan deep sea (western Mediterranean). Marine Ecology Progress Series, 82, 21-30 ";"https://doi.org/10.3354/meps082021"
"Marine fish";"Scombriformes";"Scombridae";"Thunnus";"Thunnus thynnus ";"Gulf of Mexico";"USA";2012;2012;"April to June 2012";"Seawater";"Plastic was found in two stomachs of T.thynus, with a weight of 0,96g.";"Butler, C.M., Logan, J.M., Provaznik, J.M., Hoffmayer, E.R., Staudinger, M.D., Quattro, J.M., Roberts, M.A., Ingram Jr., G.W., Pollack, A.G. & Lutcavage, M.E. (2014). Atlantic bluefin tuna Thunnus thynnus feeding ecology in the northern Gulf of Mexico: a preliminary description of diet from the western Atlantic spawning grounds. Journal of Fish Biology, 86(1), 365–374";"https://doi.org/10.1111/jfb.12556 "
"Marine fish";"Eupercaria";"Sciaenidae";"Stellifer";"Stellifer brasiliensis";"South West Atlantic Ocean";"Brazil";2005;2006;"December 2005 & November 2006";"Seawater";"""For S.brasiliensis, the highest ingestion of nylon fragments was observed in adults and juveniles during the rainy season in the upper estuary.""";"Dantas, D. V., Barletta, M., & Costa, M. F. (2015). Feeding ecology and seasonal diet overlap betweenStellifer brasiliensisandStellifer stelliferin a tropical estuarine ecocline. Journal of Fish Biology, 86(2), 707–733.doi:10.1111/jfb.12592";"https://doi.org/10.1111/jfb.12592 "
"Marine fish";"Eupercaria";"Sciaenidae";"Stellifer";"Stellifer stellifer";"South West Atlantic Ocean";"Brazil";2005;2006;"December 2005 & November 2006";"Seawater";"""For S.stellifer, the highest ingestion of nylon fragments was observed in adults in the middle estuary during the late rainy season.""";"Dantas, D. V., Barletta, M., & Costa, M. F. (2015). Feeding ecology and seasonal diet overlap betweenStellifer brasiliensisandStellifer stelliferin a tropical estuarine ecocline. Journal of Fish Biology, 86(2), 707–733.doi:10.1111/jfb.12592";"https://doi.org/10.1111/jfb.12592 "
"Marine fish";"Gadiformes";"Merluccidae";"Merluccius";"Merluccius merluccius";"Central Mediterranean Sea";"Italy";2017;2017;"June 2017";"Seawater";"A total of 31 black fibers were found in stomasch of M.merluccius, corresponding to 46.3 % of the specimens (one per stomach).";"Mancuso, M., Savoca, S. & Bottari, T. (2018). First record of microplastics ingestion by European hake Merluccius merluccius from the Tyrrhenian Siclian coast (Central Mediterranean Se). Journal of Fish Biology, 94(3), 517-519";"https://doi.org/10.1111/jfb.13920"
"Marine fish";"Perciformes";"Nototheniidae";"Dissostichus";"Dissostichus eleginoides";"South Atlantic Ocean";"South Georgia (British Overseas Territory)";2000;2000;"March to May 2000";"Seawater";"Fishing hooks were found in 5 stomachs of D.eleginoides, and rubber glove and a piece of nylon rope in combination with ""food discards"" were 3% of total items.";"Pilling, G.M., Purves, M.G., Daw, T.M., Agnew, D.A. & Xavier, J.C. (2001). The stomach contents of Patagonian toothfish around South Georgia (South Atlantic). Journal of Fish Biology, 59(5), 1370-1384";"https://doi.org/10.1111/j.1095-8649.2001.tb00198.x "
"Marine Fish";"Gadiformes";"Gadidae";"Gadus";"Gadus morhua";"North West Atlantic Ocean ";"USA";1886;1886;"15th September 1886";"Seawater";"A knife of brass of about 7cm length was found imbedded in the flesh";"Collins, J.W. (1886). A curious Knife found in the Head of a Cod-fish. Bulletin of the United States Fish Commission, 6, 381–383";"https://repository.si.edu/handle/10088/35357"
"Marine Fish";"Carcharhiniformes ";"Triakidae";"Iago";"Iago omanensis";"Red Sea";"Israel";1989;1990;"From November 1989 to October 1990";"Seawater";"Garbage (recorded as detritus) was foun in 10 stomachs out of 252. The detritus ""included fragments of plastic and rubber sheeting, cardboard, string, nylon thread, and tin foil"".";"Waller, G.N.H. & Baranes, A. (1994). Food of Iago omanensis, a deep water shark from the northern Red Sea. Journal of Fish Biology, 45, 37-45";"https://doi.org/10.1111/j.1095-8649.1994.tb01284.x"
"Marine Fish";"Perciformes";"Serranidae";"Plectropomus";"Plectropomus maculatus";"South West Pacific Ocean";"Australia";1974;1974;"Previous to 1974";"Seawater";"""Two hooks each encapsulated by tissue were found in the stomachs of two specimens of P. maculatus weighing 6.6 kg and 7.7 kg"". Hooks measured 9cm length.";"Walker, M.H. & Alexander, C.G. (1974). Encapsulated fish hooks from the stomachs of Plectropomus maculatus (Bloch) (Serranidae). Journal of Fish Biology, 6(6)759-761";"https://ur.booksc.me/book/9063610/435a64"
"Terrestrial Mammal";"Artiodactyla";"Bovidae";"Bos";"Bos taurus";"Unknown";"Unknown";"NA";"NA";"No information given";"Land";"They reported that nails, screws, and pieces of iron ingested by cattle were often encased in a dense fibrous capsule with the original object wholly or partially corroded";"Smith, H.A. & Jones, T.C. (1957). Veterinary Pathology. Philadelphia: Lea and Febiger [cited in: Walker, M.H. & Alexander, C.G. (1974). Journal of Fish Biology, 6(6), 759-761]";"https://ur.booksc.me/book/9063610/435a64"
"Terrestrial Mammal";"Carnivora";"Canidae";"Vupes";"Vulpes vulpes";"South West Europe";"Spain";1993;1994;"Fron January 1993 to December 1994";"Land";"A total 293 scats were analysed and Litter was found in 21 (7,2%), 9 (7%, n=129) scats where collected at the uplands and 12 (7,2%, n=164) at the Dehesa ecosystem.";"Fedriani, J.M. 1996. Dieta anual del zorro, Vulpes vulpes, en dos hábitats del Parque Nacional de Doñana. Acta Vertebrata, 23(2), 143-152";"http://hdl.handle.net/10261/128421"
"Terrestrial Mammal";"Artiodactyla";"Suidae";"Sus";"Sus scrofa";"South West Europe";"Spain";1974;1981;"1974-1981";"Land";"A total of 65 stomachs investigated fron 1974 to 1981 and anthropogenic rubbish (some identify as cardboard) was found in afrequency of 1,37% in Autumn, 4,35% in Spring, and 7,5% in Summer. No anthropogenic rubbish was found in faecal analysis (n=120) collected between 1979 and 1981";"Venero, J.L. (1984). Dieta de los grandes fitófagos del Parque Nacional de Doñana. Acta Vertebrata, 11(3), 130";"http://hdl.handle.net/10261/128938"
"Terrestrial Mammal";"Artiodactyla";"Cervidae";"Dama";"Dama dama";"South West Europe";"Spain";1976;1981;"1976-1981";"Land";"A total of 74 stomachs were analized from 1976 to 1981. Two stomachs (6,67%) collected in Autumn contained plastic bags. Nine stomachs (28,13%) collected in winter contained plastic bags, while one stomach contained cigarrette bugs. Another stomach collected in Spring (10%F) contained plastic bags, but also a piece of a rope and socks were found. All stomachs collected in Summer (n=2) contained plastic bags. A total of 120 faecal samples were collected from October 1979 and July 1981 and anthropogenic items were found.";"Venero, J.L. (1984). Dieta de los grandes fitófagos del Parque Nacional de Doñana. Acta Vertebrata, 11(3), 130";"http://hdl.handle.net/10261/128938"
"Terrestrial Mammal";"Artiodactyla";"Cervidae";"Cervus";"Cervus elaphus";"South West Europe";"Spain";1979;1981;"1979-1981";"Land";"A total of 54 stomachs were analysed from 1976 to 1981. Only a piece of rope was found in one stomach (12,77%) collected in Summer. A total of 120 faecal samples were collected from October 1979 and July 1981 and anthropogenic items were found.";"Venero, J.L. (1984). Dieta de los grandes fitófagos del Parque Nacional de Doñana. Doñana Acta Vertebrata, 11(3), 130";"http://hdl.handle.net/10261/128938"
"Terrestrial Mammal";"Artiodactyla";"Suidae";"Sus";"Sus scrofa";"North East Northamerica";"USA";1959;1966;"October-November from 1959 to 1966, except in 1960";"Land";"Garbage appeared in stomachs from 1965 with a 42,8%F and 5.3%Volume, and in 1966 with a 47,8%F and 11.8%volume. In general, Grabage was the forth most important item in terms of volume and eight in terms of frequency.";"Henry, V.G. & Conley, R.H. (1972). Fall Foods of European Wild Hogs in the Southern Appalachians. The Journal of Wildlife Management, 36(3), 854";"https://doi.org/10.2307/3799440"
"Terrestrial Mammal";"Carnivora";"Canidae";"Canis";"Canis familiaris";"South West Europe";"Spain";1993;1994;"From April to May 1993 & 1994";"Land";"Garbage/Rubbish was found in 11 scats (48%F) and consitituted the 23.3% of the drymatter (n=25). Garbage included plastics, paper and ropes.";"Martin-Azcarte, Yanes, M. & Suarez, F. 1994. Acerca de la dieta primaveral de perros asilvestrados (Canis familiaris) en una localidad del sureste ibérico. Doñana Acta Vertebrata, 21(2), 193-198";"http://hdl.handle.net/10261/128316"
"Terrestrial Mammal";"Carnivora";"Canidae";"Vulpes";"Vulpes vulpes";"South West Europe";"Spain";1993;1994;"From April to May 1993 & 1994";"Land";"Garbage/Rubbish was found in 6 scats (8.7%F), which constitutes the 4.3% of the drymatter (n=69). Garbage included plastics, paper and ropes.";"Martin-Azcarte, Yanes, M. & Suarez, F. 1994. Acerca de la dieta primaveral de perros asilvestrados (Canis familiaris) en una localidad del sureste ibérico. Doñana Acta Vertebrata, 21(2), 193-198";"http://hdl.handle.net/10261/128316"
"Terrestrial Mammal";"Carnivora";"Canidae";"Canis";"Canis dingo";"Australia";"Australia";1969;1970;"From 1969 to 1970";"Land";"A total of 166 stomachs were analysed (half assumed Feral dogs), where 7 stomachs (4,2%F, 1,2%V) cointained garbage and newspaper fragments.";"Coman, B.J. 1972. Helminth parasites of the Dingo and Feral dog in Victoria with some notes on the diet of the host. Australian Veterinary Journal, 48, 456-461";"https://doi.org/10.1111/j.1751-0813.1972.tb02281.x"
"Terrestrial Mammal";"Carnivora";"Felidae";"Felis";"Felis catus";"North West Mediterranean Sea";"France";2000;2001;"From February to June 2000 & from April to June 2001";"Land";"A total of 14 faeces (4,5%F) contained anthropogenic garbage";"Tranchant, A., Vidal, E. & Kayser, Y. 2003. Premières données sur le régime alimentaire du chat haret Felis catus en situation micro-insulaire méditerranéenne. Revue d’Ecologie (Terre et Vie), 58 (4), 411-418";"https://hal.archives-ouvertes.fr/hal-03529937/"
"Terrestrial Bird";"Passeriformes";"Sturnidae";"Sturnus";"Sturnus unicolor";"South West Europe";"Spain";1977;1978;"From 1977 to 1978";"Land";"It was observed two chicks which cause of dead was related to anthropogenic items (pieces of glass, plastics, etc.) (n=45)";"Peris, S. 1982. Biología del estornino negro (Sturnus unicolor). II-Dieta del Pollo. Doñana Acta Vertebrata, 7(2), 249-260";"http://hdl.handle.net/10261/129187"
"Terrestrial Bird";"Passeriformes";"Sturnidae";"Sturnus";"Sturnus unicolor";"South West Europe";"Spain";1987;1987;"From March to July 1987";"Land";"Some gizzards contained glass and textil fragments, cotton, tin foil, and carbonise material";"Escartín Porta, E., Basarán Conde, E. & Pedrocchi Renault, C. 1996. Datos relativos a la alimentación del estornino negro (Sturnus unicolor) en la provincia de Huesca. Lucas Mallada, 8: 29-39";"https://revistas.iea.es/index.php/LUMALL/article/view/779/0"
"Bird of Prey";"Accipitriformes";"Accipitridae";"Aquila";"Aquila chrysaetos";"South West Europe";"Spain";1991;1991;"At the beginnig 1991";"Land";"There were 40 lead pellets in its stomach";"Cerradelo, S., Muñoz, E., To-Figueras, J., Mateo, R. & Guitart, R. 1992. Intoxicacion por ingestion de perdigones de plomo en dos aguilas reales. Doñana Acta Vertebrata, 19(1), 122-127";"http://digital.csic.es/bitstream/10261/129269/1/DO%C3%91ANA.5.Marc.pdf"
"Marine Reptil";"Testudines";"Cheloniidae";"Caretta";"Caretta caretta";"West Mediterranean Sea";"Spain";1975;1976;"2nd August 1975 and 18th June 1976";"Seawater";"Pieces of plastic, pieces of tar and a piece of rope were found in the intestines.";"Salvador, A. (1978). Materiales para una “Herpetofauna Balearica”. 5. Las salamanquesas y tortugas del archipiélago de Cabrera. Doñana Acta Vertebrata, 5, 5-17.";"http://digital.csic.es/bitstream/10261/129269/1/DO%C3%91ANA.5.Marc.pdf"
"Bird of Prey";"Accipitriformes";"Accipitridae";"Aquila";"Aquila chrysaetos";"South West Europe";"Spain";1991;1991;"At the begining 1991";"Land";"40 lead bullets with necrotic tissue in the stomach";"Cerradelo et al.";"http://hdl.handle.net/10261/128502"
"Terrestrial Mammal";"Carnivora";"Mustelidae";"Martes";"Martes foina";"South West Europe";"Spain";1984;1991;"Between 1984 and 1991";"Land";"From the total of 76 stomachs and 12 rectal samples, 6 (8%FO) and 2 (15,4%FO) samples from two different areas contained carrion and rubbish. A total of 5 items (2,4%N) and 1 item (0,9%N) were recorded respectively";"Ruiz-olmo, J. & Palazón, S. 1993. Diet of the stone marten (Martes foina Erxleben, 1777) in the northeastern Spain. Doñana Acta Vertebrata, 20(1), 59-67";"http://hdl.handle.net/10261/128250"
"Marine Fish";"Pleuronectiformes";"Scophthalmidae";"Psetta";"Psetta maxima";"Baltic Sea";"Lithuania";1998;1998;"Previous to 1998";"Seawater";"Pieces of plastic or rubber";"Repeèka et al. (in Stankus, S. (2000). The Nutrition Turbot (Psetta MaximaL.) in the Summer-Autumn Period. Acta Zoologica Lituanica, 10(4), 68–73. doi:10.1080/13921657.2000.10512347)";"10.1080/13921657.2000.10512347"
"Terrestrial Mammal";"Carnivora";"Canidae";"Vulpes";"Vulpes vulpes";"North East Europe";"Lithuania";1999;2002;"From May 1999 to April 2002";"Land";"Garbage was found ot at warm (n=568) and winter season (n=322), with <0.1%Biomass consumed in both cases and 1.2%FO and 0,9%FO respectively";"Baltrūnaitė, L. (2006). Diet and Winter Habitat use of the Red Fox, Pine Marten and Raccoon Dog in Dzūkija National Park, Lithuania. Acta Zoologica Lituanica, 16(1), 46–53.doi:10.1080/13921657.2006.10512709 ";"10.1080/13921657.2006.10512709 "
"Terrestrial Mammal";"Carnivora";"Canidae";"Nyctereutes";"Nyctereutes procyonoides";"North East Europe";"Lithuania";1999;2002;"From May 1999 to April 2002";"Land";"Garbage was found ot at warm (n=144) and winter season (n=75), with <0.2% and 0,1% Biomass consumed respectively, and 2,6%FO and 3,6%FO respectively";"Baltrūnaitė, L. (2006). Diet and Winter Habitat use of the Red Fox, Pine Marten and Raccoon Dog in Dzūkija National Park, Lithuania. Acta Zoologica Lituanica, 16(1), 46–53.doi:10.1080/13921657.2006.10512709 ";"10.1080/13921657.2006.10512709 "
"Freshwater Fish";"Siluriformes";"Ictaluridae";"Ictalurus";"Ictalurus punctatus";"Central North Northamerica";"USA";1993;2012;"1993-2012";"Freshwater";"The study is focussed at the Big Rivers and Wetlands Field Station in Jackson (Missouri). It is reported that few fish had consumed larger inorganic items, such as rocks, silicone caulking, and rubber";"Braun, A.P. & Phelps, Q.E. (2016). Channel Catfish Habitat Use and Diet in the Middle Mississippi River. The American Midland Naturalist, 175(1), 47–54 ";"https://doi.org/10.1674/amid-175-01-47-54.1 "
"Marine Fish";"Eupercaria";"Moronidae";"Dicentrarchus";"Dicentrarchus labrax";"Central Mediterranean Sea";"Italy";2015;2015;"Before 2015";"Laboratory Experiment";" Microplastic ingestionn during the laboratory experiment carried out in the Aquaculture Experimental Plant of IAMC U.O.S. Messina, Italy";"Peda, C., Caccamo, L., Fossi, M.C., Gai, F., Andaloro, F., Genovese, L., Perdichizzi, A., Romeo, T. & Maricchiolo, G. (2016). Intestinal alterations in European bass Dicentrarchus labrax (Linnaeus, 1758) exposed to microplastics: Preliminary results. Environmental Pollution, 212, 251-256";"https://doi.org/10.1016/j.envpol.2016.01.083"
"Freshwater Fish";"Centrarchiformes ";"Centrarchidae ";"Lepomis";"Lepomis macrochirus";"West North Pacific Ocean";"Japan";1990;1991;"From March 1990 to January 1991";"Freshwater";"A total of 11319 fish were analysed and plastic worn chips were occurred between 1-4%, rubber band chips between 0.1-0.2%, vynil chips between 0.3-1.8%, other plastic chips <0.1%, iron chips 0.5%, glass chips between <0.1-0.9% y flour paste between 0.5-8.6%";"Yokogawa, K. (2018). Food habits of bluegill Lepomis macrochirus populations in reservoirs in Kagawa, Japan. Zoology and Ecology, 28(3), 185-204";"https://doi.org/10.1080/21658005.2018.1474309"
