"group";"order";"family";"genus";"species";"area";"country";"from";"to";"period";"origin";"summary";"reference";"href"
"Mollusks (Marine Bivalves)";"Ostreida";"Ostreidae ";"Crassostrea";"Magallana gigas";"North East Atlantic Ocean";"France";2016;2017;"From 2016 to 2017";"Seawater";"In the publication was referred as Crassostrea gigas. Laboratory experiment on oyster collected from the sea deployment to study the effects on gametes, embryos and larvae.";"Tallec, K., Huvet, A., Di Poi, C., González-Fernández, C., Lambert, C., Petton, B., Le Goïc, N., Berchel, M., Soudant, P. & Paul-Pont, I. 2018. Nanoplastics impaired oyster free living stages, gametes and embryos. Environmental Pollution, 242, 1226-1235";"https://doi.org/10.1016/j.envpol.2018.08.020"
"Marine Worm";"Capitellida";"Arenicolidae ";"Arenicola";"Arenicola marina";"North East Atlantic Ocean";"Germany";2015;2016;"November 2015 and January 2016";"Laboratory Experiment";"Lab experiment";"Gebhardt, C. & Forster, S. 2018. Size-selective feeding of Arenicola marina promotes long-term burial of microplastic particles in marine sediments. Environmental Pollution, 242, 1777-1786";"https://doi.org/10.1016/j.envpol.2018.07.090"
"Corals & Cnidarians & Sponges";"Scleractinia";"Pocilloporidae ";"Pocillopora";"Pocillopora damicornis";"South China Sea";"China";2018;2018;"Previous to 2018";"Laboratory Experiment";"Laboratory Experiment";"Tang, J., Ni, X., Zhou, Z., Wang, L. & Lin, S. 2018. Acute microplastic exposure raises stress response and suppresses detoxification and immune capacities in the scleractinian coral Pocillopora damicornis. Environmental Pollution, 243, 66-74";"https://doi.org/10.1016/j.envpol.2018.08.045"
"Marine Fish";"Beloniformes";"Exocoetidae ";"Cheilopogon";"Cheilopogon rapanouiensis";"South East Pacific Ocean";"Chile";2015;2016;"April 2015, November 2015 and April 2016";"Seawater";"The 16.3% of the fish (seven out of 43) contained microplastics.";"Chagnon, C., Thiel, M., Antunes, J., Ferreira, J.L., Sobral, P. & Ory, N. C. 2018. Plastic ingestion and trophic transfer between Easter Island flying fish (Cheilopogon rapanouiensis) and yellowfin tuna (Thunnus albacares) from Rapa Nui (Easter Island). Environmental Pollution, 243, 127-133";"https://doi.org/10.1016/j.envpol.2018.08.042"
"Marine Fish";"Scombriformes";"Scombridae";"Thunnus";"Thunnus albacares";"South East Pacific Ocean";"Chile";2016;2017;"August 2016 and April 2017";"Seawater";"The 2% f the fish (one out of 50) contained microplastics.";"Chagnon, C., Thiel, M., Antunes, J., Ferreira, J.L., Sobral, P. & Ory, N. C. 2018. Plastic ingestion and trophic transfer between Easter Island flying fish (Cheilopogon rapanouiensis) and yellowfin tuna (Thunnus albacares) from Rapa Nui (Easter Island). Environmental Pollution, 243, 127-133";"https://doi.org/10.1016/j.envpol.2018.08.042"
"Mollusks (Marine Bivalves)";"Mytilida ";"Mytilidae";"Mytilus";"Genus";"North East Atlantic Ocean";"Norway";2016;2017;"From August to November 2016 and August 2017";"Seawater";"Mussels presented 1.5microplastics/individual which corresponded to 0.97microplastics/g ww.";"Bråte, I.L.N., Hurley, R., Iversen, K., Beyer, J., Thomas, K.V., Steindal, C.C., Green, N.W., Olsen, M. & Lusher, A. 2018. Mytilus spp. as sentinels for monitoring microplastic pollution in Norwegian coastal waters: A qualitative and quantitative study. Environmental Pollution, 243, 383-393";"https://doi.org/10.1016/j.envpol.2018.08.077"
"Freshwater Fish";"Cichliformes";"Cichlidae ";"Symphysodon ";"Mytilus";"Central North Southamerica";"Brazil";2018;2018;"Previous to 2018";"Laboratory Experiment";"Laboratory Experiment";"Wen, B., Jin, S.R., Chen, Z.Z., Gao, J.Z., Liu, Y.N., Liu, J.H. & Feng, X.S. 2018. Single and combined effects of microplastics and cadmium on the cadmium accumulation, antioxidant defence and innate immunity of the discus fish (Symphysodon aequifasciatus). Environmental Pollution, 243, 462-471";"https://doi.org/10.1016/j.envpol.2018.09.029"
"Freshwater Fish";"Cypriniformes ";"Cyprinidae ";"Danio";"Danio rerio";"West Northamerica";"USA";2018;2018;"Previous to 2018";"Laboratory Experiment";"Laboratory Experiment";"LeMoine, C.M., Kelleher, B.M., Lagarde, R., Northam, C., Elebute, O.O. & Cassone, B.J. 2018. Transcriptional effects of polyethylene microplastics ingestion in developing zebrafish (Danio rerio). Environmental Pollution, 243, 591-600";"https://doi.org/10.1016/j.envpol.2018.08.084"
"Cyanobacteria";"Chroococcales ";"Microcystaceae ";"Microcystis";"Microcystis aeruginosa";"South East Asia";"China";2018;2018;"Previous to 2018";"Laboratory Experiment";"Laboratory Experiment";"Zhang, Q., Qu, Q., Lu, T., Ke, M., Zhu, Y., Zhang, M., Zhang, Z., Du, B., Pan. X., Sun, L. & Qian, H. 2018. The combined toxicity effect of nanoplastics and glyphosate on Microcystis aeruginosa growth. Environmental Pollution, 243, 1106-1112";"https://doi.org/10.1016/j.envpol.2018.09.073"
"Mollusks (Marine Bivalves)";"Nuculida";"Nuculidae ";"Ennucula ";"Ennucula tenuis";"North East Atlantic Ocean";"Norway";2017;2017;"May and September 2017";"Seawater";"The 41.1% of individual (five out of 12) contained microplastics.";"Bour, A., Avio, C.G., Gorbi, S., Regoli, F. & Hylland, K. 2018. Presence of microplastics in benthic and epibenthic organisms: Influence of habitat, feeding mode and trophic level. Environmental Pollution, 243, 1217-1225";"https://doi.org/10.1016/j.envpol.2018.09.115"
